table_name,column_name,ordinal_position,data_type,character_set,collation_name,expected_collation
async_exports,uuid,2,char,utf8mb4,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci
async_exports,module,3,varchar,utf8mb4,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci
async_exports,format,4,varchar,utf8mb4,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci
async_exports,status,5,varchar,utf8mb4,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci
async_exports,filters_json,6,longtext,utf8mb4,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci
async_exports,file_path,7,varchar,utf8mb4,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci
async_exports,file_name,8,varchar,utf8mb4,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci
async_exports,error_message,10,text,utf8mb4,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci
auth_login_attempts,username,2,varchar,utf8mb4,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci
auth_login_attempts,status,4,enum,utf8mb4,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci
auth_login_attempts,reason,5,varchar,utf8mb4,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci
auth_login_attempts,ip_address,6,varchar,utf8mb4,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci
auth_login_attempts,user_agent,7,varchar,utf8mb4,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci
customer_requests,uuid,2,char,utf8mb4,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci
customer_requests,request_code,3,varchar,utf8mb4,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci
customer_requests,summary,5,varchar,utf8mb4,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci
customer_requests,requester_name,7,varchar,utf8mb4,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci
customer_requests,status,15,varchar,utf8mb4,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci
customer_requests,sub_status,16,varchar,utf8mb4,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci
customer_requests,priority,17,enum,utf8mb4,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci
customer_requests,reference_ticket_code,20,varchar,utf8mb4,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci
customer_requests,notes,23,text,utf8mb4,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci
integration_settings,provider,2,varchar,utf8mb4,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci
integration_settings,account_email,6,varchar,utf8mb4,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci
integration_settings,folder_id,7,varchar,utf8mb4,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci
integration_settings,scopes,8,varchar,utf8mb4,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci
integration_settings,impersonate_user,9,varchar,utf8mb4,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci
integration_settings,file_prefix,10,varchar,utf8mb4,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci
integration_settings,service_account_json,11,longtext,utf8mb4,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci
integration_settings,last_test_status,13,varchar,utf8mb4,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci
integration_settings,last_test_message,14,varchar,utf8mb4,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci
opportunity_stages,stage_code,2,varchar,utf8mb4,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci
opportunity_stages,stage_name,3,varchar,utf8mb4,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci
opportunity_stages,description,4,varchar,utf8mb4,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci
request_raci_assignments,request_code,2,varchar,utf8mb4,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci
request_raci_assignments,raci_role,4,enum,utf8mb4,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci
support_contact_positions,position_code,2,varchar,utf8mb4,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci
support_contact_positions,position_name,3,varchar,utf8mb4,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci
support_contact_positions,description,4,varchar,utf8mb4,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci
support_request_statuses,status_code,2,varchar,utf8mb4,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci
support_request_statuses,status_name,3,varchar,utf8mb4,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci
support_request_statuses,description,4,varchar,utf8mb4,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci
support_request_tasks,task_code,3,varchar,utf8mb4,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci
support_request_tasks,task_link,4,text,utf8mb4,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci
support_request_tasks,status,5,varchar,utf8mb4,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci
workflow_form_field_configs,field_key,3,varchar,utf8mb4,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci
workflow_form_field_configs,field_label,4,varchar,utf8mb4,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci
workflow_form_field_configs,field_type,5,varchar,utf8mb4,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci
workflow_form_field_configs,excel_column,8,varchar,utf8mb4,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci
workflow_status_catalogs,status_code,3,varchar,utf8mb4,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci
workflow_status_catalogs,status_name,4,varchar,utf8mb4,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci
workflow_status_catalogs,canonical_status,6,varchar,utf8mb4,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci
workflow_status_catalogs,canonical_sub_status,7,varchar,utf8mb4,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci
workflow_status_catalogs,flow_step,8,varchar,utf8mb4,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci
workflow_status_catalogs,form_key,9,varchar,utf8mb4,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci
worklog_activity_types,code,2,varchar,utf8mb4,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci
worklog_activity_types,name,3,varchar,utf8mb4,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci
worklog_activity_types,description,4,varchar,utf8mb4,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci
worklog_activity_types,phase_hint,6,varchar,utf8mb4,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci
